draft_yr,age_first_yr,draft_pick,hght_noshoes,hght_wtshoes,wingspan,standing_reach,vert_max,vert_maxreach,vert_nostep,weight,body_fat,hand_length,hand_width,clg_games_plyd,pts_ppg,rpg,ast,fg2_pct,fg3_pct,ft_pct,guards,forwards,centers,drafted,nba_gms_plyed,Unnamed: 30
2015,19,17,75.75,77.0,79.0,101.0,34.0,135.0,28.0,199,6.2,8.0,8.5,23,17.8,1,1,0.439,0.38,0.69,1,0,0,1,139,
2009,27,0,73.5,75.0,79.25,99.5,36.5,136.0,31.5,190,5.4,8.448053829774455,9.176970141966816,130,15.3,1,1,0.44,0.35,0.72,1,0,0,0,6,
2014,23,45,81.5,83.0,84.5,105.0,35.0,140.0,28.5,234,6.2,9.0,9.25,136,10.8,1,1,0.46399999999999997,0.29,0.72,0,1,0,1,253,
2014,20,7,79.75,81.0,84.0,105.5,35.5,141.0,29.0,250,9.4,8.75,8.25,40,15.0,1,1,0.501,0.17,0.71,0,1,0,1,236,
2013,22,38,75.5,76.75,75.75,98.0,37.11140654268575,133.1557253743804,30.823839724436624,196,5.5,8.25,8.75,127,18.5,1,1,0.45,0.34,0.8,1,0,0,1,84,
2010,21,33,82.5,83.5,91.0,113.0,31.5,144.5,27.0,227,5.5,8.25,10.25,34,13.1,1,1,0.524,0.6,0.59,0,0,1,1,269,
2009,23,32,75.5,76.75,80.75,101.0,37.5,138.5,34.0,207,5.8,8.583977106800354,9.287450492347318,122,16.2,1,1,0.466,0.38,0.76,1,0,0,1,65,
2015,19,24,72.25,74.0,77.0,97.0,32.5,129.5,26.5,185,6.5,8.25,8.75,39,11.8,1,1,0.41700000000000004,0.38,0.89,1,0,0,1,177,
2012,24,26,82.5,83.75,84.75,105.5,40.5,146.0,34.0,252,11.4,9.25,9.0,135,4.8,1,1,0.557,1.0,0.63,0,0,1,1,327,
2011,21,37,80.5,81.75,85.0,107.5,30.5,138.0,27.5,239,15.5,9.25,9.75,89,15.7,1,1,0.469,0.36,0.73,0,1,0,1,24,
2012,22,0,78.75,80.0,81.5,102.5,36.5,139.0,28.5,206,6.0,8.25,9.75,99,8.7,1,1,0.478,0.44,0.68,1,1,0,0,265,
2011,20,2,79.25,80.75,85.5,108.0,34.5,142.5,29.0,248,10.8,9.0,9.75,69,17.8,1,1,0.586,0.51,0.72,0,1,0,1,428,
2014,23,51,77.25,78.25,84.0,104.5,39.5,144.0,31.5,205,6.1,9.0,9.75,0,0.0,1,1,0.0,0.0,0.0,0,1,0,1,2,
2013,20,3,79.5,80.5,85.5,105.5,36.0,141.5,27.0,198,6.7,8.75,9.25,64,12.8,1,1,0.498,0.36,0.75,0,1,0,1,342,
2014,20,19,74.5,76.5,78.75,96.0,37.88249622999358,135.48056001719613,31.299458894867783,205,4.6,8.5,9.5,69,14.9,1,1,0.44,0.38,0.79,1,0,0,1,253,
2011,19,3,81.75,83.25,85.5,109.5,32.5,142.0,26.0,259,5.9,9.5,10.75,0,0.0,1,1,0.0,0.0,0.0,0,0,1,1,516,
2013,20,17,73.0,74.0,79.75,98.0,34.0,132.0,30.0,165,4.1,8.75,10.5,0,0.0,1,1,0.0,0.0,0.0,1,0,0,1,352,
2009,21,15,81.75,82.75,86.75,110.0,28.0,138.0,25.0,192,5.5,9.127670214903947,9.72937189386932,67,11.6,1,1,0.47700000000000004,0.42,0.79,0,1,0,1,293,
2014,21,14,79.0,80.25,82.25,104.0,35.5,139.5,27.0,220,8.0,8.75,9.0,70,18.5,1,1,0.555,0.32,0.65,0,1,0,1,218,
2010,21,0,76.0,77.5,79.25,102.0,35.569227168070086,135.86803245766544,29.872601383574306,185,3.8,8.5,9.0,98,17.0,1,1,0.406,0.32,0.83,1,0,0,0,93,
2012,20,18,80.25,81.5,86.25,107.0,34.5,141.5,29.5,252,7.7,9.0,10.0,76,14.0,1,1,0.467,0.33,0.64,0,1,0,1,232,
2014,24,58,75.75,77.25,84.5,104.0,34.5,138.5,27.5,179,5.2,8.75,8.5,114,13.3,1,1,0.41700000000000004,0.34,0.77,1,0,0,1,59,
2014,19,4,79.5,80.75,83.75,105.0,39.0,144.0,32.5,220,5.1,8.75,10.5,38,12.4,1,1,0.495,0.36,0.42,0,1,0,1,261,
2013,22,23,77.5,79.0,81.0,103.0,37.5,140.5,29.5,226,7.6,9.0,10.5,139,10.3,1,1,0.48100000000000004,0.38,0.75,0,1,0,1,259,
2012,22,0,73.0,74.0,76.0,94.5,32.5,127.0,27.0,206,5.8,8.5,9.5,132,12.2,1,1,0.429,0.34,0.74,1,0,0,0,6,
2009,24,26,80.5,81.75,88.0,109.0,30.0,139.0,25.5,214,6.6,9.24093961242553,9.821438852519737,105,12.4,1,1,0.58,0.0,0.63,0,1,0,1,665,
2009,24,0,77.25,78.5,86.0,107.5,31.5,139.0,27.5,236,7.9,9.059708576391,9.674131718679071,133,12.1,1,1,0.515,0.33,0.61,0,1,0,0,153,
2015,21,33,79.0,80.25,87.25,106.0,37.5,143.5,33.0,238,7.2,8.75,9.5,65,14.0,1,1,0.518,0.07,0.67,0,1,0,1,64,
2012,20,7,79.0,80.0,83.25,101.5,39.5,141.0,38.0,228,9.6,9.0,8.5,75,16.3,1,1,0.43,0.35,0.73,0,1,0,1,463,
2012,21,5,79.75,80.75,87.25,106.0,35.5,141.5,28.5,244,5.0,9.75,10.5,105,9.8,1,1,0.525,0.5,0.61,0,1,0,1,313,
2010,20,1,74.75,76.0,81.25,101.5,39.0,140.5,30.0,196,5.6,8.25,9.5,37,16.6,1,1,0.461,0.33,0.75,1,0,0,1,540,
2013,20,7,75.5,76.75,79.75,100.5,42.0,142.5,32.5,189,5.0,8.75,9.5,37,15.9,1,1,0.495,0.42,0.87,1,0,0,1,347,
2014,21,40,77.5,78.75,82.0,100.5,41.5,142.0,36.5,211,5.1,9.0,9.5,62,27.5,1,1,0.479,0.39,0.77,0,1,0,1,688,
2011,22,44,73.5,75.25,79.5,96.5,34.0,130.5,29.5,216,4.3,8.5,9.0,128,19.6,1,1,0.456,0.38,0.81,1,0,0,1,110,
2013,21,2,75.25,76.25,81.25,100.5,42.0,142.5,33.0,213,6.6,8.75,9.25,104,10.7,1,1,0.5379999999999999,0.34,0.72,1,0,0,1,366,
