name,player,college,draft_yr,age_first_yr,draft_pick,hght_noshoes,hght_wtshoes,wingspan,standing_reach,vert_max,vert_maxreach,vert_nostep,weight,body_fat,hand_length,hand_width,clg_games_plyd,pts_ppg,rpg,ast,fg2_pct,fg3_pct,ft_pct,guards,forwards,centers,drafted,nba_gms_plyed,success
Trey Thompkins,110,University of Georgia,2011,21,37,80.5,81.75,85,107.5,30.5,138,27.5,239,15.5,9.25,9.75,89,15.7,1,1,0.469,0.36,0.73,0,1,0,1,24,
Chandler Parsons,111,University of Florida,2011,23,38,80.75,81.75,81.5,104.5,31.5,136,25.5,221,7,8.25,10,142,10.2,1,1,0.477,0.34,0.61,0,1,0,1,410,
Jeremy Tyler,112,0,2011,20,39,81,82.5,89,110.5,33.5,144,28,262,13.4,9.25,9,0,0,1,1,0,0,0,0,0,1,1,104,
Tristan Thompson,113,University of Texas at Austin,2011,20,4,79.5,80.75,85.25,108.5,35,143.5,30,227,6.2,8.75,9.25,36,13.1,1,1,0.546,0,0.49,0,1,0,1,517,
Jon Leuer,114,University of Wisconsin,2011,22,40,82,83.5,84,105.5,36.5,142,29.5,223,5.4,8.75,9.75,123,11.2,1,1,0.482,0.37,0.72,0,1,0,1,336,
Darius Morris,115,University of Michigan,2011,20,41,75.25,77.25,79.5,102,32,134,24.5,190,5.3,8.75,10,67,9.9,1,1,0.469,0.22,0.7,1,0,0,1,132,
Malcolm Lee,116,"University of California, Los Angeles",2011,21,43,76,77.5,81.75,101.5,35.5,137,30,198,5.9,8.5,9.5,94,9.7,1,1,0.441,0.28,0.72,1,0,0,1,36,
Charles Jenkins,117,Hofstra University,2011,22,44,73.5,75.25,79.5,96.5,34,130.5,29.5,216,4.3,8.5,9,128,19.6,1,1,0.456,0.38,0.81,1,0,0,1,110,
Andrew Goudelock,118,College of Charleston,2011,23,46,73.25,74.75,76.25,96.5,37,133.5,32.5,198,9.9,8.25,9.25,140,18.4,1,1,0.457,0.41,0.84,1,0,0,1,49,
Travis Leslie,119,University of Georgia,2011,21,47,75,76.25,82.5,103,40.5,143.5,33,205,8.1,8.75,9.25,90,12.2,1,1,0.482,0.33,0.74,1,0,0,1,10,
Keith Benson,120,Oakland University,2011,23,48,82,83,87.75,109.5,36,145.5,31.5,217,6.1,9.5,11,135,14.1,1,1,0.558,0.38,0.68,0,0,1,1,3,
Josh Selby,121,University of Kansas,2011,20,49,73.75,75,77.25,98,42,140,29.5,195,7.9,8.5,9,26,7.9,1,1,0.373,0.36,0.76,1,0,0,1,38,
